c7,c10,c144,c151,c30,c31,c35,c106,c108,c117,c62,c65,c41,c49,c56,c128,c51,c101,c109,c156,c1
9.0,20.0,21.0,2.0,5.0,0.300145716778363,1665.0,1.0,18.0,0.0,0.3665434082303095,0.0,3.0,2.0,0.2414686443388963,112.0,11.0,2.0,1.0,3.0,0
9.0,15.0,7.0,1.0,5.0,0.23368701194904593,140.0,1.0,18.0,0.0,0.08145409071784657,0.0,3.0,2.0,0.5759027167482677,7.0,11.0,6.0,1.0,10.0,0
9.0,14.0,27.0,1.0,4.0,0.24313879971151242,2039.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.8048954811296544,147.0,11.0,1.0,1.0,4.0,0
9.0,15.0,7.0,1.0,5.0,0.2588447623930615,140.0,1.0,18.0,0.0,0.16290818143569313,0.0,3.0,2.0,0.5092976156847888,7.0,11.0,2.0,1.0,10.0,0
9.0,19.0,10.0,1.0,5.0,0.07523744668865211,1098.0,1.0,18.0,0.0,0.0,0.0,13.0,3.0,0.017104028974005155,14.0,4.0,13.0,3.0,3.0,0
9.0,12.0,10.0,1.0,5.0,0.17983914847571605,1730.0,1.0,18.0,0.0,0.2036352267946164,0.0,1.0,2.0,0.04628149016495513,14.0,2.0,13.0,1.0,3.0,0
9.0,14.0,11.0,2.0,5.0,0.2176128664636187,240.0,1.0,18.0,0.0,0.04072704535892328,0.0,3.0,0.0,0.5928055218519904,114.0,11.0,2.0,1.0,2.0,0
9.0,12.0,10.0,1.0,5.0,0.09457098525370952,1747.0,1.0,18.0,0.0,0.04072704535892328,0.0,1.0,2.0,0.015494238011745846,14.0,4.0,13.0,1.0,3.0,0
1.0,14.0,10.0,1.0,5.0,0.2605079040849057,1716.0,1.0,18.0,0.0,0.0,0.0,3.0,0.0,0.8863911485940319,124.0,5.0,11.0,3.0,3.0,0
1.0,14.0,10.0,1.0,5.0,0.08059828664565405,1749.0,1.0,18.0,0.0,0.0,0.0,1.0,2.0,0.04225701275930685,14.0,9.0,10.0,1.0,3.0,0
0.0,14.0,10.0,1.0,5.0,0.07240692854322421,1637.0,1.0,3.0,0.0,0.0,0.0,13.0,2.0,0.003823253535365858,36.0,9.0,11.0,1.0,3.0,0
1.0,20.0,21.0,2.0,5.0,0.40638331730899824,2439.0,1.0,18.0,0.0,0.12218113607676984,0.0,3.0,0.0,1.2938694859159194,126.0,11.0,13.0,3.0,3.0,0
1.0,19.0,10.0,1.0,5.0,0.10091821337924507,1187.0,0.0,3.0,0.0,0.04072704535892328,0.0,1.0,3.0,0.045275370813543055,14.0,1.0,13.0,3.0,3.0,0
1.0,16.0,20.0,1.0,5.0,0.10684493289611308,1098.0,1.0,18.0,0.0,0.0,0.0,3.0,2.0,0.16540602137214397,86.0,13.0,13.0,2.0,3.0,0
1.0,19.0,10.0,1.0,5.0,0.10319121023029776,1187.0,1.0,3.0,0.0,0.04072704535892328,0.0,1.0,2.0,0.055940235938510975,14.0,9.0,13.0,3.0,3.0,0
1.0,19.0,10.0,1.0,5.0,0.27832369608944896,1560.0,1.0,3.0,0.0,0.12218113607676984,0.0,3.0,0.0,0.6930150092526324,126.0,5.0,13.0,3.0,3.0,0
1.0,16.0,20.0,1.0,5.0,0.07956900292365635,1093.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.03742763987252893,180.0,3.0,13.0,1.0,3.0,0
1.0,19.0,10.0,1.0,5.0,0.4046929004287056,1617.0,1.0,18.0,0.0,0.0,0.0,3.0,0.0,1.5629058004835064,126.0,9.0,6.0,1.0,3.0,0
1.0,0.0,10.0,1.0,5.0,0.08497272231403465,1604.0,1.0,18.0,0.0,0.0,0.0,3.0,0.0,0.06278184752811304,174.0,11.0,11.0,1.0,3.0,0
2.0,16.0,20.0,1.0,5.0,0.10683657463062222,1159.0,1.0,18.0,0.0,0.04072704535892328,0.0,1.0,2.0,0.07304426491251613,49.0,9.0,13.0,1.0,3.0,0
2.0,0.0,10.0,1.0,5.0,0.17452956233766903,1617.0,1.0,18.0,0.0,0.16290818143569313,0.0,3.0,2.0,0.11369148670956368,126.0,9.0,6.0,1.0,3.0,0
2.0,20.0,21.0,2.0,5.0,0.22111285991274465,1665.0,1.0,18.0,0.0,0.12218113607676984,0.0,1.0,2.0,0.4245823662958927,52.0,1.0,6.0,1.0,3.0,0
2.0,13.0,10.0,1.0,5.0,0.07305023288448374,1559.0,1.0,18.0,5.0,0.0,0.0,13.0,2.0,0.006841611589602062,245.0,9.0,11.0,1.0,3.0,0
2.0,13.0,10.0,1.0,4.0,0.07287868291080284,1559.0,1.0,18.0,5.0,0.0,0.0,13.0,2.0,0.006036716108472407,76.0,9.0,11.0,1.0,3.0,0
2.0,16.0,20.0,1.0,5.0,0.10113264278630234,1093.0,1.0,3.0,0.0,0.04072704535892328,0.0,1.0,3.0,0.04628149016495513,180.0,10.0,13.0,1.0,3.0,0
2.0,14.0,10.0,1.0,5.0,0.12944620668620377,1604.0,1.0,18.0,0.0,0.0,0.0,3.0,0.0,0.2714510010109759,124.0,5.0,11.0,1.0,3.0,0
2.0,20.0,21.0,2.0,5.0,0.30479313807249997,1165.0,1.0,18.0,0.0,0.08145409071784657,0.0,1.0,2.0,0.9095318936765094,52.0,9.0,13.0,3.0,3.0,0
2.0,15.0,7.0,1.0,5.0,0.1768109093941687,140.0,1.0,3.0,0.0,0.12218113607676984,0.0,3.0,2.0,0.21671810829415944,267.0,11.0,7.0,1.0,10.0,0
2.0,13.0,10.0,1.0,5.0,0.07335043727838146,1559.0,1.0,18.0,5.0,0.0,0.0,13.0,2.0,0.008250178681578957,76.0,9.0,11.0,1.0,3.0,0
2.0,16.0,20.0,1.0,5.0,0.10997565543543869,1218.0,1.0,18.0,0.0,0.0,0.0,1.0,2.0,0.18009536390276015,180.0,5.0,13.0,1.0,3.0,0
2.0,12.0,10.0,1.0,5.0,0.15086448365769514,206.0,1.0,18.0,0.0,0.12218113607676984,0.0,1.0,2.0,0.09497766677329922,14.0,9.0,13.0,1.0,3.0,0
2.0,22.0,20.0,1.0,5.0,0.13486774683357364,1151.0,0.0,18.0,0.0,0.12218113607676984,0.0,1.0,2.0,0.019921163157958947,180.0,9.0,6.0,1.0,3.0,0
3.0,19.0,10.0,1.0,5.0,0.10426337338567182,1617.0,1.0,18.0,0.0,0.04072704535892328,0.0,1.0,2.0,0.06097083269557132,14.0,12.0,6.0,1.0,3.0,0
3.0,14.0,10.0,1.0,5.0,0.12386258711669758,1560.0,1.0,3.0,0.0,0.04072704535892328,0.0,3.0,0.0,0.15293014141463432,2.0,11.0,11.0,1.0,3.0,0
3.0,19.0,10.0,1.0,5.0,0.1362997264672912,1601.0,1.0,3.0,0.0,0.04072704535892328,0.0,1.0,2.0,0.21128506379653428,14.0,9.0,13.0,1.0,3.0,0
3.0,12.0,10.0,1.0,5.0,0.12394835404349416,206.0,1.0,18.0,0.0,0.04072704535892328,0.0,1.0,2.0,0.15333258915519915,14.0,12.0,13.0,1.0,3.0,0
3.0,12.0,10.0,1.0,5.0,0.1013899677468237,206.0,1.0,18.0,0.0,0.04072704535892328,0.0,3.0,2.0,0.04748883338664961,126.0,5.0,13.0,1.0,3.0,0
3.0,20.0,21.0,2.0,5.0,0.1775828842757328,2636.0,1.0,18.0,6.0,0.12218113607676984,0.0,1.0,3.0,0.22034013795924287,124.0,9.0,13.0,1.0,3.0,0
3.0,22.0,20.0,1.0,5.0,0.13710621445669693,1151.0,1.0,18.0,0.0,0.08145409071784657,0.0,1.0,2.0,0.12274656087227229,180.0,3.0,6.0,0.0,3.0,0
3.0,20.0,21.0,2.0,5.0,0.1262725966534579,1169.0,1.0,18.0,0.0,0.0,0.0,3.0,0.0,0.2565604346100773,151.0,11.0,11.0,1.0,3.0,0
3.0,12.0,10.0,1.0,5.0,0.09607201528324198,206.0,1.0,18.0,0.0,0.04072704535892328,0.0,1.0,2.0,0.022537073471630323,14.0,5.0,13.0,1.0,3.0,0
